Node1,Node2,Lat1,Lon1,Lat2,Lon2,Distance,Risk
2376384551,2376384556,40.7491698,-74.0087886,40.7492121,-74.0088226,0.338960013,0.203529002
2376384551,246651638,40.7491698,-74.0087886,40.7491234,-74.0087633,0.332771458,0.205054396
2376384553,2376384555,40.7491843,-74.0097609,40.7492091,-74.0097752,0.224040149,0.103135479
2376384553,2376384550,40.7491843,-74.0097609,40.749158,-74.0097404,0.246818827,0.103469959
2376384554,246580065,40.7491971,-74.00859,40.749234,-74.0085816,0.267734778,0.27084274
2376384554,2376384549,40.7491971,-74.00859,40.7491573,-74.0085932,0.277239762,0.261372948
2376384555,2376384553,40.7492091,-74.0097752,40.7491843,-74.0097609,0.224040149,0.103135479
2376384555,2376384558,40.7492091,-74.0097752,40.7492339,-74.0097844,0.213497061,0.10300285
2376384556,2376384551,40.7492121,-74.0088226,40.7491698,-74.0087886,0.338960013,0.203529002
2376384556,2376384559,40.7492121,-74.0088226,40.7492607,-74.0088788,0.41749662,0.198666448
2376384558,2376384561,40.7492339,-74.0097844,40.7492642,-74.0097906,0.235318621,0.103033593
2376384558,2376384555,40.7492339,-74.0097844,40.7492091,-74.0097752,0.213497061,0.10300285
2376384559,2376384556,40.7492607,-74.0088788,40.7492121,-74.0088226,0.41749662,0.198666448
2376384559,2376384565,40.7492607,-74.0088788,40.749346,-74.0089803,0.619904381,0.189263394
2376384561,2376384562,40.7492642,-74.0097906,40.7492967,-74.0097896,0.24301413,0.103298748
2376384561,2376384558,40.7492642,-74.0097906,40.7492339,-74.0097844,0.235318621,0.103033593
2376384562,2376384561,40.7492967,-74.0097896,40.7492642,-74.0097906,0.24301413,0.103298748
2376384562,2376384564,40.7492967,-74.0097896,40.7493394,-74.0097742,0.301468042,0.104080662
2376384564,2376384562,40.7493394,-74.0097742,40.7492967,-74.0097896,0.301468042,0.104080662
2376384564,2376384590,40.7493394,-74.0097742,40.7499572,-74.0095399,1.999214107,0.121675319
2376384565,2376384568,40.749346,-74.0089803,40.7493749,-74.0090037,0.264990666,0.179975019
2376384565,2376384559,40.749346,-74.0089803,40.7492607,-74.0088788,0.619904381,0.189263394
2376384567,2376384569,40.7493573,-74.0085274,40.7494026,-74.0085135,0.310063742,0.334403601
2376384567,246580065,40.7493573,-74.0085274,40.749234,-74.0085816,0.62672337,0.306779096
2376384568,2376384570,40.7493749,-74.0090037,40.7494068,-74.0090242,0.268190872,0.177912899
2376384568,2376384565,40.7493749,-74.0090037,40.749346,-74.0089803,0.264990666,0.179975019
2376384569,246580064,40.7494026,-74.0085135,40.7494691,-74.008503,0.390760638,0.354348837
2376384569,2376384567,40.7494026,-74.0085135,40.7493573,-74.0085274,0.310063742,0.334403601
2376384570,2376384568,40.7494068,-74.0090242,40.7493749,-74.0090037,0.268190872,0.177912899
2376384570,2376384571,40.7494068,-74.0090242,40.7494328,-74.0090318,0.216534834,0.177125896
2376384571,2376384570,40.7494328,-74.0090318,40.7494068,-74.0090242,0.216534834,0.177125896
2376384571,2376384572,40.7494328,-74.0090318,40.7494602,-74.0090297,0.218548483,0.178337176
